step,train_loss,val_loss
0,4.3322,4.3280
500,1.7733,1.9088
1000,1.3975,1.6115
1500,1.2749,1.5323
2000,1.1956,1.5010
2500,1.1276,1.4901
3000,1.0770,1.4711
3500,1.0230,1.4978
4000,0.9735,1.5026
500,1.7306,1.8823
4500,0.9198,1.5275
4999,0.8695,1.5550
1000,1.3991,1.6082
1500,1.2791,1.5519
2000,1.1944,1.5097
2500,1.1299,1.4916
3000,1.0712,1.4909
3500,1.0213,1.4989
4000,0.9683,1.5227
4500,0.9143,1.5339
4999,0.8643,1.5705
0,4.2769,3.5993
9,3.3220,3.3594
0,4.2726,3.8071
9,3.3283,3.3838
0,4.2841,3.4479
49,2.4724,2.3901
0,4.3326,3.5468
500,1.1409,1.0401
1000,0.9674,0.8924
0,4.3800,3.6168
500,1.1905,1.0466
1000,0.9998,0.8845
1500,0.9003,0.8152
2000,0.8265,0.7640
0,4.4464,3.4638
500,1.1594,1.0471
1000,1.0365,0.8822
1500,0.8998,0.8108
2000,0.8712,0.7679
2500,0.8217,0.7358
3000,0.8080,0.7050
3500,0.7533,0.6867
4000,0.7312,0.6586
4500,0.7259,0.6433
4999,0.7253,0.6361
0,4.5119,3.4956
99,2.0528,1.9339
0,4.4033,3.4321
500,1.0334,0.9642
1000,0.9189,0.8078
1500,0.7907,0.7461
2000,0.7649,0.7022
2500,0.7718,0.6688
3000,0.6991,0.6438
3500,0.6969,0.6205
4000,0.6919,0.6039
4500,0.6433,0.5958
4999,0.6550,0.5853
